,sub,onset,offset,cat,tier,tp_contingent,voc_contingent,uniqueness
0,1,681.43,686.72,here he comes hes getting your piggies hes getting your piggies,Transcript,1,0,7
1,1,699.2,700.72,you gonna throw that in too,Transcript,1,0,6
2,1,702.83,703.61,boom,Transcript,1,0,1
3,1,734.21,735.05,need some help,Transcript,1,0,3
4,1,739.17,742.94,whats in there what what,Transcript,1,0,3
5,1,747.59,749.45,i dont think you can reach down there,Transcript,1,0,6
6,1,754.365,755.73,you want to play with something else,Transcript,1,0,6
7,1,762.66,763.66,what else is there,Transcript,1,0,1
8,1,832.59,838.94,huh shawn you think hell make a noise i dont think so no noise,Transcript,1,0,8
9,1,1116.29,1117.455,look at that,Transcript,1,0,2
10,1,1131.25,1132.106,what would you like,Transcript,1,0,2
11,1,1133.96,1136.073,oh she looks like a cookie,Transcript,1,0,4
12,1,1155.91,1156.64,see that,Transcript,1,0,1
13,1,1184.07,1184.93,whats that,Transcript,1,0,0
14,1,1188.625,1191.055,should i put it on your foot huh its on your foot,Transcript,1,0,6
15,2,613.34,615.13,thank you ah gonna eat it,Transcript,1,0,6
16,2,690.86,692.13,uh mommys,Transcript,1,0,2
17,2,754.51,755.66,juice toy,Transcript,1,0,2
18,2,761.67,762.815,see what it does,Transcript,1,0,3
19,2,809.64,811.17,youre just not sure what to do,Transcript,1,0,6
20,2,913.75,915.692,hes going to sleep hes sleeping,Transcript,1,0,4
21,2,1121.06,1122.83,that feels funny doesnt it,Transcript,1,0,4
22,5,901.192,903.959,oh i was going to hide him you can pick him back up though,Transcript,1,0,13
23,5,915.53,916.418,push him down,Transcript,1,0,2
24,5,922.86,926.965,are you ready hes gonna pop out you need to be looking oh there he is,Transcript,1,0,12
25,5,928.791,933.494,push him down say bye bye winnie in he goes,Transcript,1,0,5
26,5,943.864,944.998,can you say bye bye to winnie,Transcript,1,0,0
27,5,954.688,956.077,push him down click,Transcript,1,0,1
28,5,1028.464,1029.019,right there,Transcript,1,0,1
29,5,1100.509,1102.07,there you go good job,Transcript,1,0,3
30,9,964.012,967.017,hey come here switch,Transcript,1,0,4
31,9,1057.838,1058.612,mommy help,Transcript,1,0,2
32,10,600.99,605.48,you got another one big boy,Transcript,1,0,6
33,10,626.0,628.98,do you want mommy to do it again do you want me to make it spin,Transcript,1,0,9
34,10,646.77,648.602,yes,Transcript,1,0,1
35,10,658.82,661.19,you might have to catch shoe shown,Transcript,1,0,5
36,10,682.58,683.5,whats that,Transcript,1,0,2
37,10,705.68,707.092,how does that taste,Transcript,1,0,3
38,10,714.83,721.87,pete the penguin no no no touching no ouch ouch joseph no no good boy no no,Transcript,1,0,8
39,10,743.97,749.76,joe no touching this ok no ouch no no no ouch,Transcript,1,0,3
40,10,801.84,802.644,hey joe,Transcript,1,0,1
41,10,869.104,873.1,winnie the pooh winnie the pooh,Transcript,1,0,2
42,10,955.3,956.33,sure looks like it,Transcript,1,0,3
43,10,974.33,974.81,huh,Transcript,1,0,1
44,10,984.065,991.49,there you are joe oh theres a beautiful boy i love him i love him,Transcript,1,0,9
45,10,1038.6,1040.271,are we gonna lay down,Transcript,1,0,4
46,10,1095.04,1098.385,wheres the ball wheres the ball,Transcript,1,0,2
47,10,1172.31,1172.92,hey joe,Transcript,1,0,0
48,12,956.517,957.111,its gonna get you,Transcript,1,0,4
49,12,977.465,977.89,what,Transcript,1,0,1
50,12,980.702,981.559,dont be afraid,Transcript,1,0,3
51,12,984.984,985.997,does that feel funny,Transcript,1,0,4
52,12,1010.408,1011.096,thank you,Transcript,1,0,1
53,12,1110.385,1110.647,no,Transcript,1,0,1
54,12,1148.331,1149.063,boy over board,Transcript,1,0,3
55,14,601.053,601.85,one,Transcript,1,0,1
56,14,606.55,610.9,huh two,Transcript,1,0,2
57,14,625.05,627.288,now youre gonna put the whole thing out,Transcript,1,0,8
58,14,634.608,635.078,huh,Transcript,1,0,0
59,14,656.183,658.31,oh my gracious are you okay,Transcript,1,0,6
60,14,670.28,672.273,here honey hold on,Transcript,1,0,4
61,14,678.73,689.48,is this the sun the big bright sun whos in the mirror whos in there is shiane in there is shiane in the mirror,Transcript,1,0,10
62,14,722.11,723.5,rectangle,Transcript,1,0,1
63,14,742.21,745.04,huh whos in there,Transcript,1,0,0
64,14,750.77,756.33,shiane whos in here look at you so pretty,Transcript,1,0,4
65,14,780.475,782.89,whats this square,Transcript,1,0,2
66,14,796.61,799.405,where we going what do you want,Transcript,1,0,6
67,14,801.97,805.48,huh look at you so big,Transcript,1,0,0
68,14,809.68,816.82,huh look at you so big so big what does mommy have look here,Transcript,1,0,3
69,14,818.36,822.26,huh oh my oh my,Transcript,1,0,0
70,14,839.235,839.69,huh,Transcript,1,0,0
71,14,882.18,882.38,oh,Transcript,1,0,0
72,14,889.91,893.29,you do it can you get it,Transcript,1,0,3
73,14,948.13,953.21,its a little flower look all kinds of stuff on here,Transcript,1,0,8
74,14,958.64,961.11,so soft,Transcript,1,0,1
75,14,992.89,994.02,whats all here,Transcript,1,0,0
76,14,1015.21,1019.905,is that a penguin a penguin,Transcript,1,0,2
77,14,1162.23,1171.07,tigger yeah thats daddys favorite disney character yes it is daddys favorite,Transcript,1,0,8
78,24,956.517,957.111,its gonna get you,Transcript,1,0,4
79,24,977.465,977.89,what,Transcript,1,0,1
80,24,980.702,981.559,dont be afraid,Transcript,1,0,3
81,24,984.984,985.997,does that feel funny,Transcript,1,0,4
82,24,1010.408,1011.096,thank you,Transcript,1,0,1
83,24,1110.385,1110.647,no,Transcript,1,0,1
84,24,1148.331,1149.063,boy over board,Transcript,1,0,3
85,25,932.374,932.921,upidy up,Transcript,1,0,2
86,25,965.669,968.042,howd it get over there,Transcript,1,0,5
87,25,1002.96,1003.866,uh oh,Transcript,1,0,2
88,25,1031.626,1032.332,koosh ball,Transcript,1,0,2
89,29,656.84,662.33,bzz bzz bzz bzz bzz a buzz buzz buzz buzz buzz buzz buzz buzz buzz,Transcript,1,0,3
90,29,669.86,671.26,you have to oh eat the bee's head,Transcript,1,0,8
91,29,788.4,789.75,oh mwah,Transcript,1,0,1
92,29,815.3,816.28,whats wrong honey,Transcript,1,0,3
93,29,941.755,945.4,huh boom you knocked it over,Transcript,1,0,5
94,30,1009.205,1010.005,uh oh,Transcript,1,0,2
95,30,1021.329,1021.659,huh,Transcript,1,0,1
96,30,1025.695,1026.107,heh,Transcript,1,0,1
97,30,1048.57,1052.27,uh oh oops bump your head,Transcript,1,0,4
98,30,1067.065,1067.618,you want it back,Transcript,1,0,4
99,30,1070.784,1071.066,huh,Transcript,1,0,0
100,30,1103.575,1104.127,no,Transcript,1,0,1
101,30,1123.616,1133.812,dance dance dance dance dance dance no you can't have that either you can't have that either no,Transcript,1,0,5
102,33,918.266,920.312,yay you did it again,Transcript,1,0,5
103,33,981.446,982.033,laken,Transcript,1,0,1
104,45,944.65,946.567,no you dont want to play with that,Transcript,1,0,8
105,45,986.265,987.447,do patty cake on mommys hand,Transcript,1,0,6
106,45,999.07,1002.493,thats good mmhmm thats good,Transcript,1,0,3
107,45,1006.886,1009.998,sleepies sleepies,Transcript,1,0,1
108,45,1060.863,1062.557,lets see if you can go get the ball,Transcript,1,0,8
109,45,1072.757,1073.339,here we go,Transcript,1,0,2
110,45,1075.598,1076.481,you do it ready,Transcript,1,0,2
111,45,1079.42,1080.568,can you do it to mommy,Transcript,1,0,1
112,45,1098.668,1100.82,there you go nope you dont want it,Transcript,1,0,2
113,45,1102.077,1104.559,you dont want it anymore you dont want it,Transcript,1,0,1
114,45,1127.924,1128.753,should we get the ball,Transcript,1,0,1
115,45,1180.313,1181.689,i get it your turn,Transcript,1,0,3
116,45,1192.296,1193.919,wooah whered it go,Transcript,1,0,2
117,50,760.59,761.79,ready wheres pooh bear,Transcript,1,0,4
118,50,783.055,786.805,peek a boo there he is you found him,Transcript,1,0,9
119,50,831.38,832.16,do you want that,Transcript,1,0,3
120,50,886.835,889.295,you got it good catch,Transcript,1,0,4
121,50,909.72,917.825,can you get the ball ready here it comes here comes the ball uh oh,Transcript,1,0,8
122,50,968.492,972.14,you like the ball were going to have to find a ball at home arent we,Transcript,1,0,10
123,50,973.752,974.33,yeah,Transcript,1,0,1
124,50,976.63,979.812,ooooh where did it go whered it go,Transcript,1,0,5
125,50,989.7,990.51,get the ball,Transcript,1,0,0
126,50,992.72,998.36,oh can you reach it can you reach it get the ball get the ball get the ball boom,Transcript,1,0,2
127,50,1000.63,1001.212,get it,Transcript,1,0,0
128,50,1032.0,1033.842,lookie here remember that,Transcript,1,0,2
129,50,1036.54,1039.0,can you get it there you go,Transcript,1,0,0
130,50,1081.441,1084.68,what is this it looks like a worm wanna play with the worm,Transcript,1,0,7
131,50,1086.26,1087.536,wanna play with the worm,Transcript,1,0,0
132,50,1137.98,1139.68,huh yeah,Transcript,1,0,1
